search_term,extractor_key,channel_id,channel,uploader_url,id,url,title,description,duration,view_count
"""javier milei""",YoutubeSearchURL,UC_49ElhhVd1BO7MsdBPm77Q,BREAK POINT,https://www.youtube.com/@BreakPointMP,MASFnpnqXmk,https://www.youtube.com/watch?v=MASFnpnqXmk,MILEI LA ROMPIÓ EN TUCUMÁN CON SU CONFERENCIA Y SE FUE OVACIONADO | BREAK POINT,,2561.0,67204
"""javier milei""",YoutubeSearchURL,UCba3hpU7EFBSk817y9qZkiA,LA NACION,https://www.youtube.com/@lanacion,UJInKVh6kIU,https://www.youtube.com/watch?v=UJInKVh6kIU,"Javier Milei desafió a Cristina Kirchner: ""Todas las cosas que dijo sobre la inflación están mal""",,2077.0,861775
"""javier milei""",YoutubeSearchURL,UCj6PcyLvpnIRT_2W_mwa9Aw,Todo Noticias,https://www.youtube.com/@todonoticias,aKazuTy2Sek,https://www.youtube.com/watch?v=aKazuTy2Sek,"""SI ENTRO EN EL BALLOTAGE, EL PRÓXIMO PRESIDENTE SOY YO"" | Javier Milei en SÓLO UNA VUELTA MÁS",,1975.0,376793
"""javier milei""",YoutubeSearchURL,UCj6PcyLvpnIRT_2W_mwa9Aw,Todo Noticias,https://www.youtube.com/@todonoticias,tRGj-4P3Tok,https://www.youtube.com/watch?v=tRGj-4P3Tok,“Si entro al balotaje soy el próximo presidente argentino”:  Javier Milei en SÓLO UNA VUELTA MÁS,,2924.0,154984
"""javier milei""",YoutubeSearchURL,UCvsU0EGXN7Su7MfNqcTGNHg,Infobae,https://www.youtube.com/@Infobae,728RctmmDmY,https://www.youtube.com/watch?v=728RctmmDmY,Javier Milei: “Los argentinos se quieren liberar de los políticos chorros y opresores”,,3928.0,215485
"""javier milei""",YoutubeSearchURL,UCba3hpU7EFBSk817y9qZkiA,LA NACION,https://www.youtube.com/@lanacion,GTtBDr1ngbg,https://www.youtube.com/watch?v=GTtBDr1ngbg,"Javier Milei: ""Para mí el Estado es el enemigo""",,1496.0,153384
"""javier milei""",YoutubeSearchURL,UCCibRFbyaiOjfL_eMRFLvEg,UB Comunidad Organizada,https://www.youtube.com/@UBComunidadOrganizada,H38usWX7OpQ,https://www.youtube.com/watch?v=H38usWX7OpQ,Guillermo Moreno - Javier Milei. El debate en A24 3/12/16,,3652.0,750741
"""javier milei""",YoutubeSearchURL,UCeSvGgpiCLSGpfcmA_KuXPA,jmortiz77,https://www.youtube.com/@jmortiz7738,NL9RNuIKyOc,https://www.youtube.com/watch?v=NL9RNuIKyOc,"Javier Milei en ""Animales sueltos"", de Alejandro Fantino - 14/03/18",,1240.0,68796
"""javier milei""",YoutubeSearchURL,UCRBzmo3wTFgeolmVpWjCSHQ,Sergio Santillán Díaz,https://www.youtube.com/@SergioSantiDiaz,C9VkTRTRKII,https://www.youtube.com/watch?v=C9VkTRTRKII,Desenmascarando la mentira Keynesiana | Javier Milei,,3921.0,247980
"""javier milei""",YoutubeSearchURL,UCR9120YBAqMfntqgRTKmkjQ,A24com,https://www.youtube.com/@A24com,xNZ7QdXQN9g,https://www.youtube.com/watch?v=xNZ7QdXQN9g,"""Mi primer propiedad es el cuerpo"", Javier Milei en #VivianaConVos 22/06/2022",,2297.0,275839
"""javier milei""",YoutubeSearchURL,UCncnuCzrFwWxO4Z-c1vQB2A,Canal C Argentina,https://www.youtube.com/@CanalCCordobaTV,SHZP3ofi3zs,https://www.youtube.com/watch?v=SHZP3ofi3zs,Javier Milei | Análisis del liberalismo,,1465.0,10286
"""javier milei""",YoutubeSearchURL,UCqz5tDLcGBJ5obqpSLSkiaQ,MILEI PRESIDENTE,https://www.youtube.com/@MILEIPRESIDENTE,SEgiTkqGUjY,https://www.youtube.com/watch?v=SEgiTkqGUjY,¡Mirá el desopilante diálogo sexual entre Javier Milei y Moria Casán!- 16/07/18,,1294.0,904633
